Date,Day No.,Day of Week,Platform,Content Type,Content Title (Hindi),Viral Pattern,Pattern No.,Virality Score (1-10),Hook - First 3 Seconds (Hindi),Caption Template (Hindi),Hashtags (5 max),CTA (Hindi),Best Posting Time IST,Objective,Target Audience,Expected Engagement,Difficulty Level,Content Category,Production Notes
12-06-2026,8,Friday,YouTube,YouTube Long,"AgroManch के buyers कौन हैं? — किसान का भरोसा क्यों बनता है","Trust Building",N/A,8,"किसे बेच रहे हो? AgroManch पर buyers की पूरी जानकारी","AgroManch पर buyers कौन हैं? कहाँ से हैं? Verified हैं या नहीं? आज हम पूरी transparency के साथ बताते हैं। FPOs, bulk buyers, exporters, direct consumers — सब मिलते हैं AgroManch पर।","#kisan #agromanch #farming #indianfarmers #agribusiness","Subscribe करो 🔔 + comment में बताओ — आप कौन सी फसल बेचना चाहते हो","05:00 PM",Trust,"Skeptical / First-time Online Farmers",High,Medium,Trust,"Interview format with a verified buyer on camera"
12-06-2026,8,Friday,Instagram,Reel,"पहली बार online बेचा — किसान का असली reaction देखो","Farmer Success Story",4,9,"[Video clip: किसान phone देखते हुए] 'अरे! पैसे आ गए!'","यह moment देखो — [Farmer Name] ने AgroManch पर पहली बार फसल बेची। Payment आई — उनकी आँखें देखो 🥹 यही AgroManch का मकसद है — किसान की मुस्कान। आपकी बारी कब है?","#kisan #farming #indianfarmers #agromanch #annadata","AgroManch पर join करो — link bio में 👇","08:30 PM",Trust,"All Farmers",Explosive,Medium,Trust,"Real farmer reaction video — most emotional content type; must be authentic"
13-06-2026,9,Saturday,Facebook,Video Post,"AgroManch payment process — आपका पैसा कब और कैसे आता है","Trust Building / Transparency",N/A,7,"'Payment कब मिलेगी?' — यह सवाल हर किसान पूछता है","सीधा जवाब: Sale confirm होने के 48-72 घंटे में payment आपके bank account में। UPI, NEFT, direct transfer — आप चुनो। AgroManch पर कोई hidden charge नहीं। यह देखो पूरी process।","#kisan #agromanch #farming #indianfarmers #krishi","Comment में बताओ — और क्या जानना है AgroManch के बारे में?","10:00 AM",Trust,"All Farmers",High,Low,Trust,"Explainer animation or screencast with Hindi voiceover"
14-06-2026,10,Sunday,Instagram,Reel,"AgroManch के 5 hidden features — 90% किसान नहीं जानते","Tech for Farmers",16,8,"रुको! AgroManch में यह 5 features हैं — क्या आपको पता था?","Feature 1: AI Price Predictor 🤖 | Feature 2: Buyer chat before sale 💬 | Feature 3: Crop grading guide 📊 | Feature 4: Insurance claim tracker 📋 | Feature 5: Regional language support (11 भाषाएं) 🌐 | Save करो यह video!","#kisan #agromanch #farming #indianfarmers #kisaan","Save करो 📌 + अपने dost को tag करो 👇","08:00 PM",App Download,"Tech-interested Farmers",Very High,Low,App Download,"Screen recording + voiceover; fast transitions"
14-06-2026,10,Sunday,Instagram,Story,"Behind the scenes: AgroManch team आपके खेत में कैसे आता है?","Trust Building / BTS",N/A,6,"[Video story] AgroManch field team — real visit footage","[15-sec story] यह है AgroManch का field team — आज [State] में किसानों से मिले। Onboarding, quality check, और support। हम सिर्फ app नहीं — आपके साथ हैं।","N/A (Story)","Swipe up → AgroManch App","07:00 PM",Trust,"All Farmer Segments",Medium,Low,Trust,"Authentic field visit footage; raw/real style works best"
15-06-2026,11,Monday,WhatsApp,Broadcast Message,"PM-KISAN Alert: 20वीं किस्त — Status check करो अभी","Scheme Alert",6,9,"🚨 PM-KISAN Alert — किस्त आ रही है","🚨 PM-KISAN 20वीं किस्त की date आ रही है! ✅ Status check करो: AgroManch App → Schemes → PM-KISAN ✅ Bank account linked है? ✅ eKYC हुई है? | अगर नहीं — अभी करो, वरना किस्त रुक जाएगी। AgroManch Helpline: [number]","N/A (WhatsApp)","AgroManch App → Schemes section खोलो","07:30 AM",Acquisition,"PM-KISAN Beneficiary Farmers",Explosive,Low,Acquisition,"Timely alert — highest forward rate content type; verify PM-KISAN date before sending"
16-06-2026,12,Tuesday,YouTube,YouTube Long,"FPO + AgroManch = 500 किसान एक आवाज़ — success story","Farmer Success Story / Community",4,9,"500 किसानों ने मिलकर AgroManch पर बेचा — यह हुआ नतीजा","जब 500 किसान एक साथ आते हैं — तो bargaining power बढ़ती है। [FPO Name] ने AgroManch पर bulk listing की। नतीजा: ₹X/quintal ज़्यादा मिले। यह है FPO की ताकत + AgroManch का platform।","#kisan #farming #indianfarmers #agromanch #agribusiness","FPO में हो? AgroManch पर bulk listing करो — free contact: [link]","05:00 PM",Trust,"FPO Leaders & Members",High,High,Trust,"Real FPO interview needed; 10-15 min documentary style"
16-06-2026,12,Tuesday,Instagram,Carousel,"AgroManch की 5 Guarantees — किसान का भरोसा","Trust Building",N/A,7,"[Slide 1] AgroManch ने किसान से 5 वादे किए हैं","[5-slide carousel] Guarantee 1: Verified buyers only ✅ | Guarantee 2: Payment within 72 hours 💰 | Guarantee 3: Price always ≥ Mandi rate 📈 | Guarantee 4: Free expert support 👨‍🌾 | Guarantee 5: 0% hidden charges 🚫 | Save करो यह slide!","#kisan #agromanch #farming #indianfarmers #kisaan","Save करो 📌 + अपने किसान दोस्त को share करो","12:00 PM",Trust,"Skeptical New Farmers",High,Low,Trust,"Clean infographic design; brand colors; each guarantee on separate slide"
17-06-2026,13,Wednesday,Instagram,Engagement Post,"AgroManch में क्या improve होना चाहिए? — आप बताओ","Community / Feedback",N/A,6,"[Image: open feedback box] हम सुन रहे हैं — आप बोलो","AgroManch एक किसान का platform है। इसलिए किसान ही बताएगा कि क्या बेहतर होना चाहिए। Comment में लिखो — कोई भी suggestion। हम seriously implement करते हैं।","#kisan #farming #indianfarmers #agromanch #krishi","Comment में लिखो 👇 — best suggestion को prize मिलेगा","06:00 PM",Community,"Active App Users",Medium,Low,Community,"Read and respond to every comment; use feedback for product team"
18-06-2026,14,Thursday,Instagram,Reel,"AgroManch की security — ₹50,000+ transaction कैसे safe रहती है","Trust Building",N/A,8,"₹50,000 online transfer — डर लगता है? यह देखो","AgroManch पर बड़े transactions safe कैसे हैं? 🔒 SSL encryption | 🔒 Verified buyer system | 🔒 Escrow payment hold | 🔒 Dispute resolution team | Real किसान का real transaction — देखो proof।","#kisan #agromanch #farming #indianfarmers #kisaan","Comment में बताओ — online payment से डर लगता है या नहीं?","08:30 PM",Trust,"Risk-averse Older Farmers",High,Low,Trust,"Animation of security flow; simple visual; Hindi voiceover"
19-06-2026,15,Friday,YouTube,YouTube Short,"🚨 इस हफ्ते का Pest Alert — UP/Bihar के किसान ध्यान दें","Crop Emergency Alert",3,9,"🚨 ALERT: [Pest Name] इस हफ्ते [State] के [Crop] में — अभी देखो","🚨 Weekly Pest Alert | इस हफ्ते [Pest] का खतरा | लक्षण: [symptom describe करो] | इलाज: [solution in 2 lines] | AgroManch Expert से free consultation करो — App खोलो → Expert Section।","#kisan #farming #krishi #indianfarmers #fasal","AgroManch App → Expert Section → free consultation","05:00 PM",Trust + Acquisition,"Crop Farmers in Alert Zone",Explosive,Low,Acquisition,"Weekly series — highest WhatsApp forward rate; source: NPSS data; partner with agronomist"
19-06-2026,15,Friday,Instagram,Reel,"Crop Disease Alert — यह देखो, अपनी फसल बचाओ","Crop Emergency Alert",3,10,"[Close-up diseased leaf] — क्या आपकी फसल में यह हो रहा है?","यह देखो — [crop] में [disease] का attack। लक्षण: [describe]. अगर आपको यही दिख रहा है तो अभी करो: ✅ [Action 1] ✅ [Action 2] ✅ AgroManch पर expert से photo send करो — 2 घंटे में solution! WhatsApp group में share करो 🙏","#kisan #farming #krishi #fasal #indianfarmers","WhatsApp group में share करो 🙏 | AgroManch Expert — link bio","08:30 PM",Trust,"Crop Farmers",Explosive,Low,Trust,"Close-up crop disease footage; must be locally relevant; highest share trigger"
20-06-2026,16,Saturday,Facebook,Video Post,"Post-harvest mistakes — यह 3 गलतियाँ ₹50,000 बर्बाद कर देती हैं","Jugaad / Frugal Innovation",7,8,"'फसल कट गई — अब क्या?' 90% किसान यहाँ गलती करते हैं","Mistake 1: सही storage नहीं — moisture बढ़ती है 🔴 | Mistake 2: तुरंत मंडी ले जाओ — भाव कम 🔴 | Mistake 3: quality check नहीं — less price 🔴 | Solution: AgroManch पर grade करो, सही समय पर बेचो — ₹X ज़्यादा मिलेगा।","#kisan #farming #indianfarmers #krishi #agromanch","AgroManch App → Storage + Selling Guide section","10:00 AM",Trust,"Post-harvest Farmers",High,Medium,Trust,"Field demonstration video; 5-7 min; practical tips"
21-06-2026,17,Sunday,Instagram,Reel,"PMFBY Claim — 60 सेकंड में जानो कैसे करें | Save करो यह video","Scheme Alert",6,9,"फसल बर्बाद हुई और PMFBY claim नहीं किया? यह गलती मत करो","PMFBY Claim — Step 1: AgroManch App → Insurance 📱 | Step 2: फसल damage की photo खींचो 📸 | Step 3: details भरो ✍️ | Step 4: Submit करो ✅ | 48 घंटे में acknowledge. Save करो 📌 और WhatsApp group में share करो — यह info हर किसान को चाहिए!","#kisan #farming #pmfby #indianfarmers #kisaan","Save करो 📌 | WhatsApp group में share करो 🙏","08:00 PM",Trust + Acquisition,"PMFBY-enrolled Farmers",Very High,Low,Acquisition,"Step-by-step screen recording; must be accurate; highest save rate content"
21-06-2026,17,Sunday,Instagram,Carousel,"PM-KISAN से PMFBY — सभी Government Schemes एक जगह","Scheme Alert",6,8,"[Slide 1] इतनी schemes हैं किसानों के लिए — क्या आपको सब पता हैं?","[10-slide carousel] PM-KISAN | PMFBY | KCC | PM Kusum | PKVY | Soil Health Card | e-NAM | RKVY | MIDH | Agri Infrastructure Fund — हर scheme: क्या मिलता है + कैसे apply करो + AgroManch App में scheme tracker।","#kisan #farming #pmkisan #indianfarmers #krishi","Save करो 📌 + किसान दोस्त को tag करो","12:00 PM",Trust,"All Farmers — especially financial aid seekers",Very High,Medium,Trust,"Infographic carousel; one scheme per slide; include official portals"
22-06-2026,18,Monday,WhatsApp,Broadcast Message,"Mandi Price Alert: इस हफ्ते गेहूं बेचें या रोकें?","Market Intelligence / Mandi Alert",2,8,"📊 इस हफ्ते Mandi Price Alert","📊 AgroManch Weekly Price Alert: गेहूं: [Mandi ₹/quintal] vs AgroManch: [₹/quintal] | Prediction: अगले 2 हफ्ते में [trend] | Action: [buy/hold recommendation] | AgroManch पर अभी sell करो: [app link]","N/A (WhatsApp)","AgroManch App → Sell Now","07:30 AM",Marketplace,"Wheat/Rabi Crop Farmers",High,Low,Marketplace,"Requires real mandi data; partner with price data API; weekly series"
23-06-2026,19,Tuesday,YouTube,YouTube Long,"Soil Health Card को 60 सेकंड में कैसे समझें — किसी ने नहीं बताया यह","Myth Busting / Education",11,8,"25 करोड़ Soil Health Cards बंटे — लेकिन 90% किसान इसे नहीं समझते","Soil Health Card में 3 main numbers हैं जो आपकी खेती बदल सकते हैं: N-P-K ratio, pH level, और micronutrients। आज मैं आपको 5 मिनट में सिखाता हूं कैसे पढ़ें यह card और क्या करें।","#kisan #farming #soilhealth #indianfarmers #krishi","Video save करो + अपने card लेकर follow करो 👇","05:00 PM",Trust,"All Crop Farmers with Soil Health Cards",High,Medium,Trust,"Use actual Soil Health Card prop; animated explainer of NPK meaning; 8-10 min"
23-06-2026,19,Tuesday,Instagram,Reel,"Jugaad: ₹200 में बनाओ drip irrigation — बिना किसी technical skill के","Jugaad / Zero Cost Hack",7,9,"Drip irrigation system ₹1 lakh में बनता है? यह आदमी ₹200 में बना गया","₹200 + पुरानी बोतलें + small drip nozzles = working drip system 🌱 | Water saving: 60% ✅ | Yield increase: possible ✅ | Cost: ₹200 ✅ | देखो कैसे बनाते हैं — step by step. Share करो किसान दोस्तों को 🙏","#kisan #farming #jugaad #indianfarmers #khetibadi","WhatsApp group में share करो 🙏 | AgroManch पर drip equipment भी मिलता है","08:30 PM",Trust,"Small & Marginal Farmers (cost-conscious)",Explosive,Low,Trust,"Field DIY demo video; most shareable jugaad content type"
24-06-2026,20,Wednesday,Instagram,Engagement Post,"Poll: मंडी में आपको सही दाम मिलता है? — honestly बताओ","Mandi Shock / Community Debate",2,8,"[Branded graphic] सच बोलो — मंडी fair है या नहीं?","किसान भाइयों — सीधा सवाल: क्या मंडी में आपको आपकी फसल का सही दाम मिलता है? Vote करो 👇 और comment में बताओ अपना experience। आपके जवाब से AgroManch बेहतर बनेगा।","#kisan #farming #indianfarmers #kisaan #kheti","Vote करो 👆 | Comment में अपना experience share करो","06:00 PM",Community,"All Selling Farmers",Very High,Low,Community,"Instagram poll sticker; highest comment rate topic; monitor and respond"
25-06-2026,21,Thursday,Instagram,Reel,"मौसम Alert — अगले 72 घंटे आपकी फसल खतरे में है","Weather Emergency Alert",10,9,"🚨 [State] Alert: अगले 72 घंटे में [weather event] — अभी यह करो","🚨 Weather Alert: [State/District] में अगले 72 घंटे में [heavy rain/hail/heat wave] की संभावना। अभी करो: ✅ Action 1 ✅ Action 2 ✅ Action 3 | AgroManch Weather Alert subscribe करो — हर district का अलग notification। Download: link bio 👇","#kisan #farming #mausam #indianfarmers #krishi","AgroManch App → Weather Alert ON करो 🔔","08:00 PM",Trust + Acquisition,"All Active Farming Seasons",Explosive,Low,Acquisition,"IMD data source; district-level targeting on Instagram; most urgent share trigger"
26-06-2026,22,Friday,YouTube,YouTube Long,"IT छोड़ा — खेती अपनाई — AgroManch से ₹8 लाख/साल | Real Story","Farmer Success Story / Aspiration",4,10,"'सब कहते थे तू बर्बाद हो जाएगा — आज मेरी income देखो'","[Real person story] Software engineer की नौकरी छोड़ी। लोगों ने हँसाया। 3 साल बाद: 5 एकड़ खेती + AgroManch पर direct selling + ₹8 लाख annual income। आज वो inspire कर रहे हैं हज़ारों युवाओं को।","#kisan #farming #indianfarmers #agromanch #organicfarming","Subscribe करो 🔔 | Comment में बताओ — क्या आप भी खेती में आना चाहते हो?","05:00 PM",Community,"Young Farmers & Career-changers",Explosive,High,Community,"Real person story — pre-produced documentary style; 12-18 min; highest subscribe-after content"
26-06-2026,22,Friday,Instagram,Reel,"AgroManch की community — 1 लाख किसान milestone 🎉","Community Milestone",N/A,8,"1 लाख किसान! — यह moment हमारा नहीं, आपका है","1,00,000 किसान AgroManch से जुड़े 🎉 यह सिर्फ एक number नहीं है। यह है 1 लाख families की hope। 1 लाख खेत जहाँ अब fair price मिलती है। 1 लाख किसान जो अपनी शर्तों पर बेचते हैं। Thank you 🙏 अगला milestone: 5 लाख — क्या आप साथ हो?","#kisan #agromanch #farming #indianfarmers #annadata","Tag करो उस किसान को जिसे AgroManch से जोड़ना है 👇","08:30 PM",Community,"All Existing + Potential Users",Very High,Low,Community,"Celebration reel; emotional music; testimonial clips; community pride trigger"
27-06-2026,23,Saturday,Facebook,Video Post,"Mahila Kisan + AgroManch — रेखा देवी ने 3 एकड़ से ₹2 लाख कमाए","Women Farmer Empowerment",9,9,"'पति बाहर काम करते हैं — मैंने अकेले खेती की और AgroManch से बेचा'","रेखा देवी, [Village], [State]। 3 एकड़ जमीन। पति शहर में काम करते हैं। AgroManch से सब्जी direct बेची। ₹2 लाख annual income। अब वो गाँव की दूसरी महिलाओं को सिखाती हैं। यह है असली empowerment।","#kisan #mahilakisan #farming #indianfarmers #womenempowerment","अपनी माँ या बहन को tag करो जो खेती करती हों 👇","09:30 AM",Community,"Women Farmers & Rural Women",Very High,Medium,Community,"Real woman farmer story; local language preferred; national media pickup potential"
28-06-2026,24,Sunday,Instagram,Reel,"Dragon Fruit — ₹200/kg बिकता है, भारत में कोई उगाता नहीं क्यों?","Hidden Crop Reveal",15,9,"यह फल ₹200/किलो बिकता है — और भारत में demand है import से — क्यों नहीं उगाते?","Dragon Fruit: Market Price: ₹150-200/kg 💰 | Demand: Growing 40%/year 📈 | Import: Currently imported from Vietnam 😱 | Your opportunity: AgroManch पर 50+ direct buyers हैं dragon fruit के | भारत में पहला mover advantage मिलेगा तुम्हें। Full guide: link bio 👇","#kisan #farming #dragonfruit #indianfarmers #agromanch","AgroManch App → Dragon Fruit category → buyers देखो","08:00 PM",Marketplace,"Progressive + Young Farmers",Explosive,Low,Marketplace,"Visually stunning fruit close-ups; highest curiosity trigger; unusual crop content"
28-06-2026,24,Sunday,Instagram,Story,"Flash Deal: आज का special buyer — जल्दी करो","Marketplace Flash Deal",N/A,8,"⚡ FLASH: आज एक buyer ₹X/quintal दे रहा है — limited time","⚡ Flash Buyer Deal — आज only: [Buyer] ₹[price]/quintal दे रहा है [crop] के लिए। सामान्य मंडी भाव से ₹[X] ज़्यादा। Quantity limit: [X] quintal. AgroManch App खोलो — Flash Deals section.","N/A (Story)","AgroManch App → Flash Deals → अभी list करो","07:30 PM",Marketplace,"Active Sellers of that Crop",Very High,Low,Marketplace,"Real buyer deal; verify before posting; scarcity drives action"
29-06-2026,25,Monday,WhatsApp,Broadcast Message,"AgroManch Kisan of the Week — [Name] को congratulations!","Farmer Recognition / Award",17,7,"🏆 इस हफ्ते का AgroManch Kisan Star","🏆 AgroManch Kisan of the Week: [Farmer Name], [Village], [State] ने इस हफ्ते [Achievement: sold X quintal / earned ₹X / innovative technique] किया। आप भी nominate कर सकते हो अगले हफ्ते के लिए। AgroManch App → Community → Nominate Kisan","N/A (WhatsApp)","AgroManch App → Community section","07:30 AM",Community,"All Farmers",High,Low,Community,"Weekly recognition series; builds loyalty; most forwarded type in farmer groups"
30-06-2026,26,Tuesday,YouTube,YouTube Long,"Bhojpuri में — AgroManch पर कइसे बेचीं अपन फसल | Complete Guide","Regional Language Content",18,9,"किसान भाई — आज AgroManch के बारे में अपनी भाषा में बात करेंगे","[Complete AgroManch tutorial in Bhojpuri] Registration से payment तक — हर step भोजपुरी में। UP और Bihar के किसान भाइयों के लिए specially बनाया गया यह video।","#kisan #farming #indianfarmers #bhojpuri #agromanch","Video share करो अपने UP/Bihar के किसान दोस्तों को 🙏","05:00 PM",Acquisition,"UP + Bihar Farmers (Bhojpuri speakers)",Explosive,Medium,Acquisition,"Native Bhojpuri speaker host; highest regional language engagement; 50M+ Bhojpuri speakers"
30-06-2026,26,Tuesday,Instagram,Carousel,"AgroManch पर join करने के 10 फायदे — एक carousel में सब","Platform Benefits",N/A,8,"[Slide 1] AgroManch join करो — 10 reasons जो आपको पता होने चाहिए","[10-slide carousel] 1: Direct buyers 2: Higher price 3: Fast payment 4: Free expert advice 5: Weather alerts 6: Scheme tracker 7: No hidden charges 8: Regional language 9: WhatsApp support 10: Community network | हर slide में एक benefit + proof data। Save करो 📌","#kisan #agromanch #farming #indianfarmers #kisaan","Save करो 📌 + किसान दोस्त को share करो","12:00 PM",Acquisition,"Undecided / Fence-sitting Farmers",High,Low,Acquisition,"Decision-making carousel; each slide should have 1 data point as proof"
01-07-2026,27,Wednesday,Instagram,Engagement Post,"Tag करो उस किसान दोस्त को जिसने तुम्हें inspire किया 🙏","Community / Tag Trigger",N/A,7,"[Image: sunset over wheat field] — किसान भाई से किसान भाई का सम्मान","खेती में एक mentor होता है — जिसने आपको inspire किया। वो आपके पिता हैं? भाई हैं? गाँव का कोई किसान? आज उन्हें tag करो — उनकी मेहनत को एक tribute दो। Comment में उनकी कहानी भी लिखो 🙏","#kisan #farming #annadata #indianfarmers #kisanputra","Tag करो उस किसान को जिसे आप respect करते हो 👇","07:00 PM",Community,"All Farmers (emotional moment)",High,Low,Community,"Emotional image design; Jai Kisan sentiment; very high organic reach"
02-07-2026,28,Thursday,Instagram,Reel,"AgroManch App — 5 मिनट में पहली listing करो | Tutorial","App Feature Tutorial",16,8,"5 मिनट challenge: क्या आप 5 मिनट में AgroManch पर listing कर सकते हो?","[Screen recording tutorial] Step 1: App download — 30 sec | Step 2: Register — 1 min | Step 3: Crop details — 1 min | Step 4: Price set — 30 sec | Step 5: Publish — 30 sec | Total: ~4 min ✅ | Comment करो — कितने minutes लगे तुम्हें?","#kisan #agromanch #farming #indianfarmers #kisaan","Try करो और comment में time बताओ 👇 | Download: link bio","08:30 PM",App Download,"New / First-time Users",High,Low,App Download,"Screen recording with timer graphic; gamification triggers comments"
03-07-2026,29,Friday,YouTube,YouTube Long,"AgroManch 30 Days — किसानों का साथ, किसानों की जीत | Month 1 Report","Platform Milestone / Transparency",N/A,8,"1 महीना हो गया — AgroManch ने क्या achieve किया? सच बताते हैं","Honest report: किसान joined, total trade ₹X, average price premium ₹X/quintal, top selling crops, best states, problems we faced, improvements we made. Transparency builds trust — यही AgroManch का philosophy है।","#kisan #agromanch #farming #indianfarmers #agribusiness","Comment में बताओ — next month क्या करना चाहते हो AgroManch से?","05:00 PM",Trust + Community,"Existing Users + Potential Users",High,Medium,Trust,"Data-driven video; honest about challenges; builds massive trust"
03-07-2026,29,Friday,Instagram,Reel,"यह moment आपका हो सकता है — AgroManch पर join करो","Emotional CTA / Final Push",N/A,9,"[Compilation clip] — किसानों के real reactions जब पहली online payment आई","यह देखो — इन किसानों के चेहरे। जब पहली बार घर बैठे payment आई। कोई खुशी से चिल्लाया। कोई परिवार को दिखाने दौड़ा। कोई की आँखें भर आईं। 🥹 यह moment आपका भी हो सकता है। AgroManch — किसान का अपना बाज़ार।","#kisan #agromanch #farming #indianfarmers #annadata","Download करो अभी — link bio में 👇 | आज ही join करो","08:30 PM",App Download,"All Farmer Segments",Explosive,Medium,App Download,"Compilation of real reaction clips; emotional music; highest conversion trigger"
